,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
99,hsa-mir-16-1_hsa-miR-16-5p,11.5277791,12.4912138,0.963434700000001,4.46937830032138e-24,6.83442431757478e-23
100,hsa-mir-16-2_hsa-miR-16-2-3p,8.5007724765,7.124887228,-1.3758852485,9.70696368958002e-16,5.23890540305275e-15
101,hsa-mir-16-2_hsa-miR-16-5p,11.407573225,12.46577835,1.058205125,4.3225739192494e-24,6.83442431757478e-23
102,hsa-mir-17_hsa-miR-17-3p,4.575248241,2.810186625,-1.765061616,1.19335136208988e-11,4.21115336429794e-11
103,hsa-mir-17_hsa-miR-17-5p,7.567281246,4.791038036,-2.77624321,2.08971716888628e-18,1.56515551220666e-17
104,hsa-mir-181a-1_hsa-miR-181a-3p,6.065237284,4.3497264385,-1.7155108455,5.018130813787e-17,3.1214474723048e-16
106,hsa-mir-181a-2_hsa-miR-181a-2-3p,5.942383289,4.857892036,-1.084491253,3.70253048437435e-12,1.41544654975561e-11
108,hsa-mir-181b-1_hsa-miR-181b-5p,7.864784718,7.182091713,-0.682693005,5.07241480892708e-16,2.86396343827114e-15
109,hsa-mir-181b-2_hsa-miR-181b-5p,7.933797836,7.283848286,-0.649949550000001,5.80746376455385e-16,3.22930182059282e-15
111,hsa-mir-181d_hsa-miR-181d-5p,5.607989311,2.4555990695,-3.1523902415,6.41046414559236e-15,3.01620556593897e-14
112,hsa-mir-182_hsa-miR-182-5p,8.674224854,7.3305318355,-1.3436930185,2.4288888089108e-24,4.24477234700125e-23
115,hsa-mir-1843_hsa-miR-1843,5.816808701,4.673586845,-1.143221856,1.31040421972458e-09,4.14584783309415e-09
116,hsa-mir-185_hsa-miR-185-5p,9.804976463,9.206783295,-0.598193168,5.90669221585442e-16,3.23545678092324e-15
117,hsa-mir-186_hsa-miR-186-5p,8.522427559,4.630004406,-3.892423153,5.44406889982145e-22,6.05446450374082e-21
122,hsa-mir-191_hsa-miR-191-5p,12.15404892,10.85684586,-1.29720306,5.36654084936458e-20,4.58028021329489e-19
123,hsa-mir-192_hsa-miR-192-5p,10.16340542,8.7359433175,-1.4274621025,1.14003759830624e-25,2.09196899289195e-24
124,hsa-mir-193a_hsa-miR-193a-5p,5.025693893,3.473247528,-1.552446365,1.88813011060286e-08,5.33033654300961e-08
